"filename", "language", "JSON", "YAML", "Ignore", "JSON with Comments", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "Docker", "CSS", "Prisma", "SQL", "XML", "comment", "blank", "total"
"d:\Learn\codeEditor\apps\client\src\components\ProblemDescription\Questions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 5, 164
"d:\Learn\codeEditor\apps\client\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 6, 42
"d:\Learn\codeEditor\apps\client\src\components\QuestionDrawer\QuestionDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Learn\codeEditor\apps\client\src\components\TabOne.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Learn\codeEditor\apps\client\src\components\TestCase\TestCase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Learn\codeEditor\apps\client\src\components\TestResponse\TetstResponse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"d:\Learn\codeEditor\apps\client\src\components\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 16, 83
"d:\Learn\codeEditor\apps\client\src\contexts\CodeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Learn\codeEditor\apps\client\src\contexts\TabContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 9, 46
"d:\Learn\codeEditor\apps\client\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"d:\Learn\codeEditor\apps\client\src\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Learn\codeEditor\apps\client\src\hooks\useFullscreen.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Learn\codeEditor\apps\client\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Learn\codeEditor\apps\client\src\pages\Code.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Learn\codeEditor\apps\client\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
